img,true,answer,latency_s,rpc_bytes,t_start,t_end
airport_s0005002.png,airport,airport,2.515322208404541,9065516,1783134966.9408062,1783134969.4561284
dense_residential_s0005003.png,dense_residential,dense residential,2.776057243347168,9962899,1783134969.4636064,1783134972.2396636
stadium_s0005004.png,stadium,stadium,2.789586305618286,9962839,1783134972.245801,1783134975.0353873
commercial_area_s0005005.png,commercial_area,airport,2.5436880588531494,9066026,1783134975.042729,1783134977.586417
sparse_residential_s0005006.png,sparse_residential,circular farmland,3.284029006958008,11757041,1783134977.5926478,1783134980.8766768
chaparral_s0005007.png,chaparral,chaparral,3.0311238765716553,10859673,1783134980.8825195,1783134983.9136434
railway_s0005008.png,railway,railway,2.7797231674194336,9963087,1783134983.9204466,1783134986.7001698
basketball_court_s0005009.png,basketball_court,basketball court,2.9970407485961914,10860303,1783134986.7052503,1783134989.702291
golf_course_s0005010.png,golf_course,golf course,3.018613338470459,10859987,1783134989.707411,1783134992.7260244
lake_s0005011.png,lake,lake,2.538146734237671,9065722,1783134992.7308598,1783134995.2690065
river_s0005012.png,river,river,2.5386927127838135,9065402,1783134995.2739756,1783134997.8126683
forest_s0005013.png,forest,forest,2.5400853157043457,9065412,1783134997.8169727,1783135000.357058
