img,true,answer,latency_s,rpc_bytes
airport_s0005002.png,airport,airport,3.996147394180298,9196446
dense_residential_s0005003.png,dense_residential,dense residential,4.419551134109497,10116658
stadium_s0005004.png,stadium,stadium,4.432631254196167,10112509
commercial_area_s0005005.png,commercial_area,airport,3.911863327026367,9194213
sparse_residential_s0005006.png,sparse_residential,circular farmland,5.437313556671143,11958048
chaparral_s0005007.png,chaparral,chaparral,4.9499242305755615,11014363
railway_s0005008.png,railway,railway,4.405755281448364,10114819
basketball_court_s0005009.png,basketball_court,basketball court,4.920479774475098,11032537
golf_course_s0005010.png,golf_course,golf course,4.88627290725708,11036665
lake_s0005011.png,lake,lake,3.9008305072784424,9194050
